q_id,corr_opt,diff_lev,top_id,chap_id
3691,['3'],13,4554,617
3692,['2'],10,4533,612
3693,['1'],10,4515,610
3694,['4'],7,4507,609
3695,['2'],22,4525,611
3696,['3'],10,4512,610
3700,['4'],10,4440,598
3702,['2'],13,4449,599
3703,['4'],15,4466,602
3704,['4'],10,4387,626
3705,['4'],13,4430,596
3706,['4'],13,4387,626
3707,['2'],1,4440,598
3708,['4'],4,4387,626
3709,['3'],10,4386,626
3710,['3'],10,4529,612
3711,['2'],25,4530,612
3712,['4'],25,4522,611
3713,['1'],1,4538,614
3714,['3'],25,4522,611
3715,['2'],16,4502,609
3716,['3'],10,4340,624
3717,['4'],13,4485,606
3718,['2'],13,4553,617
3719,['1'],13,4484,606
3720,['1'],25,4412,594
3721,['2'],22,4430,596
3722,['3'],25,4412,594
3723,['3'],15,4545,615
3724,['2'],15,4551,616
3725,['1'],10,4551,616
3726,['4'],13,4546,615
3727,['3'],22,4510,610
3728,['4'],1,4535,613
3729,['3'],13,4503,609
3730,['2'],26,4500,609
3731,['2'],26,4511,610
3732,['3'],25,4370,589
3733,['2'],25,4481,605
3734,['4'],26,4515,610
3735,['4'],25,4484,606
3736,['2'],26,4554,617
3737,['1'],26,4571,620
3738,['4'],26,4565,620
3739,['4'],25,4552,617
3740,['3'],13,4559,618
3741,['2'],26,4571,620
3742,['4'],1,4392,591
3743,['3'],1,4386,626
3744,['2'],1,4387,626
3745,['2'],10,4421,595
3746,['4'],10,4387,626
3747,['1'],1,4375,625
3748,['2'],10,4403,592
3749,['3'],1,4375,625
3750,['2'],1,4377,625
3751,['3'],1,4553,617
3752,['4'],13,4376,625
3753,['3'],1,4377,625
3754,['2'],13,4366,589
3755,['3'],13,4350,587
3756,['1'],13,4339,624
3757,['1'],13,4342,624
3759,['4'],13,4484,606
3760,['3'],13,4347,587
3761,['1'],10,3992,364
3764,['3'],23,3826,329
3765,['4'],15,3834,331
3766,['2'],25,3847,332
3767,['2'],9,3855,334
3768,['4'],17,3832,330
3769,['4'],26,3835,331
3770,['1'],25,3871,337
3771,['3'],15,3898,344
3772,['3'],25,3844,332
3773,['4'],15,3824,329
3774,['2'],17,3830,330
3775,['3'],26,3919,349
3776,['3'],15,3922,351
3777,['3'],9,3872,338
3778,['4'],2,3928,351
3783,['1'],25,3884,341
3786,['2'],26,3937,356
3787,['1'],3,3901,345
3788,['3'],26,3886,342
3789,['4'],12,3886,342
3791,['3'],15,3897,344
3793,['2'],25,3893,343
3795,['1'],26,3898,344
3796,['4'],26,3907,346
3798,['4'],26,3908,347
3799,['1'],26,3909,347
3800,['3'],10,4226,382
3801,['3'],10,4238,387
3802,['1'],10,4195,383
3803,['3'],10,4188,385
3804,['3'],10,4593,383
3805,['4'],10,4174,386
3806,['1'],10,4175,386
3807,['4'],10,4247,387
3808,['3'],10,4264,389
3809,['2'],1,4194,383
3810,['1'],10,4265,389
3811,['3'],13,4246,387
3812,['4'],10,4258,389
3813,['1'],10,4233,388
3814,['4'],10,4176,386
3815,['2'],13,4227,382
3816,['4'],13,4007,363
3817,['3'],15,4060,369
3818,['2'],10,4080,371
3819,['2'],26,4044,368
3820,['2'],15,4029,367
3821,['2'],10,3987,361
3822,['3'],1,4061,369
3823,['4'],15,4080,371
3824,['3'],15,4007,363
3825,['2'],26,4023,366
3826,['4'],26,3998,364
3827,['4'],10,4023,366
3828,['4'],10,4029,367
3829,['3'],15,4024,366
3830,['2'],15,3989,361
3831,['1'],10,4209,384
3832,['2'],1,4156,378
3833,['3'],3,4098,371
3834,['3'],26,4080,371
3835,['2'],26,4097,371
3836,['3'],1,4130,375
3837,['3'],15,4112,379
3838,['4'],15,4148,377
3839,['3'],15,3967,365
3840,['1'],13,4367,589
3841,['3'],25,4340,624
3842,['3'],1,4563,619
3843,['2'],13,4348,587
3844,['1'],13,4352,587
3845,['1'],10,4350,587
3846,['3'],1,4387,626
3847,['1'],1,4387,626
3848,['2'],13,4387,626
3849,['1'],13,4506,609
3850,['3'],13,4535,613
3851,['1'],16,4386,626
3852,['1'],13,4370,589
3853,['2'],13,4416,594
3854,['3'],13,4416,594
3855,['3'],10,4412,594
3856,['2'],10,4371,589
3857,['3'],1,4375,625
3858,['1'],1,4375,625
3859,['2'],13,4370,589
3860,['4'],1,4375,625
3861,['3'],16,4342,624
3862,['3'],10,4370,589
3863,['2'],4,4424,595
3864,['4'],22,4420,595
3865,['3'],4,4416,594
3866,['2'],22,4372,589
3867,['4'],1,4484,606
3868,['3'],27,4372,589
3869,['4'],10,4484,606
3870,['1'],13,4484,606
3871,['2'],10,4556,618
3872,['4'],13,4565,620
3873,['1'],1,4566,620
3874,['3'],10,4566,620
3875,['4'],13,4555,618
3876,['1'],16,4564,619
3877,['3'],4,4560,618
3878,['3'],4,4535,613
3879,['2'],13,4543,614
3880,['3'],1,4530,612
3881,['2'],1,4543,614
3882,['1'],13,4535,613
3883,['1'],10,4540,614
3884,['1'],1,4546,615
3885,['3'],1,4550,616
3886,['4'],1,4547,615
3887,['4'],13,4548,616
3888,['3'],10,4535,613
3889,['3'],13,4386,626
3890,['2'],13,4336,622
3891,['4'],13,4365,588
3892,['1'],22,4365,588
3893,['3'],16,4575,590
3894,['1'],4,4401,592
3895,['1'],13,4528,611
3896,['3'],25,4505,609
3897,['4'],16,4450,600
3898,['4'],1,4508,610
3900,['1'],16,4381,590
3901,['2'],16,4447,599
3902,['2'],13,4441,598
3903,['3'],4,4457,601
3904,['3'],25,4380,590
3905,['2'],1,4444,599
3906,['3'],4,4452,600
3907,['3'],13,4454,600
3908,['1'],10,4476,603
3909,['1'],13,4450,600
3910,['1'],25,4472,603
3911,['2'],13,4457,601
3912,['2'],1,4456,601
3913,['1'],13,4455,600
3914,['1'],7,4461,601
3915,['2'],1,4488,607
3916,['1'],1,4496,608
3917,['4'],13,4488,607
3918,['3'],1,4497,608
3919,['4'],13,4554,617
3920,['4'],7,4559,618
3921,['2'],1,4539,614
3922,['3'],13,4553,617
3923,['1'],1,4570,620
3924,['2'],1,4529,612
3925,['2'],10,4534,613
3926,['2'],1,4531,612
3927,['4'],13,4531,612
3928,['1'],13,4512,610
3929,['1'],13,4539,614
3930,['4'],13,4543,614
3931,['1'],1,4545,615
3936,['1'],9,3954,359
3937,['4'],26,3937,356
3938,['3'],17,3848,333
3939,['2'],12,3835,331
3940,['2'],12,3885,342
3942,['4'],15,3921,350
3944,['4'],26,4080,371
3945,['4'],10,4593,383
3946,['1'],13,4241,387
3953,['2'],13,4252,390
3954,['2'],13,4172,386
3955,['4'],13,4040,368
3956,['2'],13,4262,389
3959,['1'],13,4207,384
3960,['2'],1,4110,379
3962,['2'],1,4339,624
3963,['3'],1,4502,609
3964,['1'],25,4349,587
3965,['4'],1,4530,612
3966,['4'],10,4437,597
3967,['2'],10,4548,616
3968,['4'],25,4370,589
3969,['2'],1,4399,591
3970,['1'],13,4560,618
3971,['2'],1,4387,626
3972,['3'],1,4541,614
3973,['1'],10,4549,616
3974,['2'],25,4390,591
3975,['2'],10,4535,613
3976,['2'],13,4554,617
3977,['1'],7,4347,587
3978,['4'],25,4347,587
3979,['3'],13,4365,588
3980,['1'],13,4564,619
3981,['3'],13,4556,618
3982,['3'],13,4337,622
3983,['2'],1,4545,615
3984,['4'],13,4439,597
3985,['2'],7,4530,612
3986,['4'],16,4554,617
3987,['3'],13,4349,587
3988,['1'],13,4506,609
3989,['2'],25,4370,589
3990,['2'],13,4440,598
3991,['4'],7,4491,607
3992,['3'],25,4545,615
3993,['2'],7,4461,601
3994,['2'],15,4387,626
3995,['4'],5,4456,601
3996,['1'],25,4382,590
3997,['4'],15,4484,606
3998,['2'],7,4416,594
3999,['3'],5,4547,615
4000,['3'],7,4438,597
4001,['1'],7,4519,610
4002,['4'],15,4564,619
4003,['3'],7,4566,620
4004,['1'],1,4484,606
4005,['3'],13,4537,613
4006,['1'],26,4575,590
4007,['3'],13,4376,625
4008,['3'],4,4373,589
4009,['4'],4,4466,602
4010,['4'],4,4403,592
4011,['2'],13,4484,606
4012,['2'],13,4513,610
4013,['2'],10,4515,610
4014,['1'],4,4365,588
4017,['4'],26,3908,347
4019,['1'],25,3931,352
4020,['1'],12,3923,351
4021,['2'],12,3827,329
4022,['3'],23,3922,351
4023,['2'],2,3925,351
4025,['3'],25,3876,339
4026,['2'],25,3937,356
4027,['3'],2,3849,333
4028,['4'],10,3893,343
4029,['4'],15,3887,342
4030,['2'],12,3941,358
4031,['2'],4,3949,358
4032,['1'],25,3933,354
4033,['1'],15,3947,358
4034,['3'],10,3933,354
4035,['1'],26,3863,335
4036,['4'],13,4223,382
4037,['4'],1,3996,364
4038,['3'],4,4030,367
4039,['2'],23,4171,380
4042,['4'],1,4156,378
4044,['3'],1,4248,390
4045,['2'],10,4018,366
4046,['1'],4,4226,382
4048,['1'],1,4231,388
4051,['2'],1,4024,366
4053,['4'],15,4252,390
4054,['4'],15,4192,383
4055,['3'],25,4056,369
4056,['1'],15,4083,371
4057,['3'],1,4079,372
4058,['3'],12,4265,389
